App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
jenkins;ExtensionFinderTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\ExtensionFinder.java;206;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ExtensionListListenerTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\ExtensionListListener.java;68;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ExtensionListRjrTest;;80;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;Cat;;224;0;0;0;0;0;1;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;FilePathTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\FilePath.java;261;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;HtmlEscapeTest;;44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;GroovyInitScriptTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\init\impl\GroovyInitScript.java;48;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;InitMilestoneTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\init\InitMilestone.java;70;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;CreateItemTest;;198;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
jenkins;LauncherTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\Launcher.java;296;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LifecycleTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\lifecycle\Lifecycle.java;62;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LogRecorderManagerTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\logging\LogRecorderManager.java;256;10;38;2;0;0;0;0;0;4;0;0;0;0;6;1;0;0;4;0;0;0;4
jenkins;MarkupFormatterTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\markup\MarkupFormatter.java;115;6;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AbortedFreeStyleBuildTest;;52;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AbstractBuildTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\AbstractBuild.java;359;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AbstractItem2Test;;85;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
jenkins;AbstractItemSecurityTest;;88;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AbstractItemTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\AbstractItem.java;224;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AbstractProjectTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\AbstractProject.java;674;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;AperiodicWorkTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\model\AperiodicWork.java;57;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
