App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-io;RegexFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\RegexFileFilter.java;173;6;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;7;0;0;0;1
commons-io;SymbolicLinkFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\SymbolicLinkFileFilter.java;221;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;WildcardFileFilterTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\filefilter\WildcardFileFilter.java;167;1;14;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;15;0;0;0;0
commons-io;FilenameUtilsTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\FilenameUtils.java;1190;48;752;3;0;0;0;0;0;58;11;0;4;0;0;12;0;0;12;0;0;0;12
commons-io;FilenameUtilsWildcardTest;;248;9;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
commons-io;FileSystemTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\FileSystem.java;153;9;9;7;0;0;0;0;0;6;16;0;0;0;0;0;0;0;2;1;0;0;5
commons-io;FileSystemUtilsTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\FileSystemUtils.java;90;8;6;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;2
commons-io;FileUtilsCleanDirectoryTest;;133;6;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0
commons-io;FileUtilsCleanSymlinksTest;;263;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsCopyDirectoryToDirectoryTest;;119;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;CheckingInputStream;;99;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsDeleteDirectoryLinuxTest;;119;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;FileUtilsDeleteDirectoryWindowsTest;;59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsDirectoryContainsTest;;173;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsFileNewerTest;;169;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsListFilesTest;;310;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;ListDirectoryWalker;;3573;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;FileUtilsWaitForTest;;106;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;EraseTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\function\Erase.java;97;11;3;0;0;0;0;0;0;10;0;0;0;9;0;0;0;0;0;0;0;0;2
commons-io;MyRuntimeException;;349;2;0;0;0;0;4;0;0;19;0;0;0;5;0;0;0;0;0;0;0;0;0
commons-io;IOBiConsumerTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\function\IOBiConsumer.java;69;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;IOBiFunctionTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\function\IOBiFunction.java;90;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
